nr,Artikelid,Varnummer,Namn,Namn2,Prisinklmoms,Pant,Volymiml,PrisPerLiter,Saljstart,Utgått,Varugrupp,Typ,Stil,Forpackning,Forslutning,Ursprung,Ursprunglandnamn,Producent,Leverantor,Argang,Provadargang,Alkoholhalt,Sortiment,SortimentText,Ekologisk,Etiskt,EtisktEtikett,Koscher,RavarorBeskrivning
101,1,1,Renat,,204.00,,700.00,291.43,1993/10/01,0,Okryddad sprit,,,Flaska,,,Sverige,Pernod Ricard,Pernod Ricard Sweden AB,,,37.50%,FS,Ordinarie sortiment,0,0,,0,Säd.
7599701,1000005,75997,Motzenbäcker Marie,Riesling Weissburgunder Spätlese Trocken,139.00,,750.00,185.33,2015/09/01,0,Vitt vin,,,Flaska,,Pfalz,Tyskland,Menger-Krug,Terrific Wines AB,2015,,12.00%,BS,Övrigt sortiment,0,0,,0,
7548901,1000008,75489,Valtellina Superiore,Sassella Riserva,324.00,,750.00,432.00,2015/09/01,0,Rött vin,,,Flaska,,Lombardiet,Italien,Arpepe,Vinoliv Import AB,2011,,13.50%,BS,Övrigt sortiment,0,0,,0,
7774701,1000080,77747,Canella,Valdobbiadene Prosecco Superiore Extra Dry,147.00,,750.00,196.00,2015/09/01,0,Mousserande vin,Vitt Torrt,,Flaska,,Venetien,Italien,Canella SpA,Fine Brands Sweden AB,2014,,11.00%,BS,Övrigt sortiment,0,0,,0,
7563901,1000083,75639,Viña Soledad,Tête de Cuvée Reserva,159.00,,750.00,212.00,2015/09/01,0,Vitt vin,Fylligt & Smakrikt,,Flaska,Naturkork,Rioja,Spanien,Bodegas Franco-Españolas,Terrific Wines AB,2006,,12.00%,BS,Övrigt sortiment,0,0,,0,Viura.
7521801,1000131,75218,Purcari,Freedom Blend,181.00,,750.00,241.33,2015/09/01,0,Rött vin,,,Flaska,,,Moldavien,Purcari,High Coast Wine AB,2014,,13.50%,BS,Övrigt sortiment,0,0,,0,
8936603,1000155,89366,Midas Golden Pilsner,,26.70,,330.00,80.91,2015/09/01,0,Öl,Ljus lager,Modern stil,Flaska,,,Sverige,Imperiebryggeriet AB,Imperiebryggeriet AB,,,4.90%,BS,Övrigt sortiment,0,0,,0,
7785701,1000178,77857,Canella,Bellini,133.00,,750.00,177.33,2015/09/01,0,Mousserande vin,Övrigt,,Flaska,,,Italien,Canella SpA,Fine Brands Sweden AB,,,5.00%,BS,Övrigt sortiment,0,0,,0,
7459301,1000296,74593,Johanneshof Reinisch,Riesling,134.00,,750.00,178.67,2015/09/01,0,Vitt vin,,,Flaska,,Niederösterreich,Österrike,Johann und Veronika Reinisch,KA Import,2014,,12.50%,BS,Övrigt sortiment,1,0,,0,
8780501,1000369,87805,Josés,Tequila Blanco,372.00,,700.00,531.43,2015/09/01,0,Tequila och Mezcal,,,Flaska,,,Mexiko,Tierra de Agaves,Fine Brands Sweden AB,,,40.00%,BS,Övrigt sortiment,0,0,,0,
8587801,1000372,85878,Fighting Cock,Kentucky Straight Bourbon,574.00,,1000.00,574.00,2015/09/01,0,Whisky,Övrig,,Flaska,,Kentucky,USA,Heaven Hill Distilleries,Fine Brands Sweden AB,,,51.50%,BS,Övrigt sortiment,0,0,,0,
7457501,1000375,74575,Rosé Piscine,,109.00,,750.00,145.33,2015/09/01,0,Rosévin,,,Flaska,,,Frankrike,Vinovalie,Smaksinnet AB,,,11.00%,BS,Övrigt sortiment,0,0,,0,
8797501,1000416,87975,Cognac Leyrat,Fine VS,431.00,,700.00,615.71,2015/09/01,0,Cognac,,,Flaska,,Cognac,Frankrike,Domaine de chez maillard,Fine Brands Sweden AB,,,40.00%,BS,Övrigt sortiment,0,0,,0,
8983803,1000432,89838,Schlappeseppel Specialität,,27.10,,330.00,82.12,2015/09/01,0,Öl,Mellanmörk lager,Märzen och wienerstil,Flaska,,,Tyskland,Schlappeseppel GmbH,Dryckesboden Sverige AB,,,5.60%,BS,Övrigt sortiment,0,0,,0,
8996703,1000435,89967,Schlappeseppel,Dunkel,21.10,,330.00,63.94,2015/09/01,0,Öl,Mörk lager,Dunkel,Flaska,,,Tyskland,Schlappeseppel GmbH,Dryckesboden Sverige AB,,,5.20%,BS,Övrigt sortiment,0,0,,0,
8998601,1000438,89986,Schlappeseppel,Hefe Weissbier,25.20,,500.00,50.40,2015/09/01,0,Öl,Veteöl,Hefeweizen,Flaska,,,Tyskland,Schlappeseppel GmbH,Dryckesboden Sverige AB,,,5.50%,BS,Övrigt sortiment,0,0,,0,
8993603,1000441,89936,Schlappeseppel,Pils,20.10,,330.00,60.91,2015/09/01,0,Öl,Ljus lager,Pilsner - tysk stil,Flaska,,,Tyskland,Schlappeseppel GmbH,Dryckesboden Sverige AB,,,5.10%,BS,Övrigt sortiment,0,0,,0,
8962103,1000444,89621,Schlappeseppel,Kellerbier,21.10,,330.00,63.94,2015/09/01,0,Öl,Ljus lager,Zwickel, keller- och landbier,Flaska,,,Tyskland,Schlappeseppel GmbH,Dryckesboden Sverige AB,,,5.50%,BS,Övrigt sortiment,0,0,,0,
8973001,1000454,89730,Valmiermuiza,Alus,32.10,,500.00,64.20,2015/09/01,0,Öl,Mellanmörk lager,Märzen och wienerstil,Flaska,,,Lettland,Valmiermuiza,CCS AB,,,5.20%,BS,Övrigt sortiment,0,0,,0,
8796201,1000569,87962,Aalborg,Jule Akvavit,299.00,,700.00,427.14,2015/11/02,0,Kryddad sprit,,,Flaska,,,Danmark,De Danske Spritfabrikker,Arcus Sweden AB,2015,,47.00%,BS,Övrigt sortiment,0,0,,0,
8521401,1000572,85214,Porto Quinta da Gaivosa,10 Year Old Tawny,298.00,,750.00,397.33,2015/09/01,0,Portvin,Rött,,Flaska,,Porto,Portugal,Domingos Alves de Sousa,Monte Portcia AB,2014,,20.00%,BS,Övrigt sortiment,0,0,,0,
8914003,1000827,89140,Harviestoun Old Engine Oil,Black Ale,25.70,,330.00,77.88,2015/10/01,0,Öl,Ale brittisk-amerikansk stil,Old ale,Flaska,,Skottland,Storbritannien,Harviestoun Brewery,Brewery International Sweden AB,,,6.00%,BS,Övrigt sortiment,0,0,,0,
7154001,1000923,71540,Château de Cazeneuve,Le Roc des Mates,270.00,,750.00,360.00,2015/10/01,0,Rött vin,,,Flaska,,Languedoc-Roussillon,Frankrike,Château de Cazeneuve,Sybaris - Wine & Spirits AB,2011,,14.50%,BS,Övrigt sortiment,1,0,,0,
7102401,1000940,71024,Château de Cazeneuve,Les Calcaires,221.00,,750.00,294.67,2015/10/01,0,Rött vin,,,Flaska,,Languedoc-Roussillon,Frankrike,Château de Cazeneuve,Sybaris - Wine & Spirits AB,2013,,13.50%,BS,Övrigt sortiment,1,0,,0,
7447001,1001022,74470,Excelso,Reserva,119.00,,750.00,158.67,2015/09/01,0,Rött vin,,,Flaska,,Rioja,Spanien,Bodegas Franco-Españolas,Terrific Wines AB,2009,,14.00%,BS,Övrigt sortiment,0,0,,0,
3063803,1001025,30638,Kråkudden,Ljus Lager,26.20,,330.00,79.39,2015/10/01,0,Öl,Ljus lager,Dortmunder och helles,Flaska,,Stockholms län,Sverige,Roslags Näsby Bryggeri,Aktiebolaget Roslags Näsby Bryggeri,,,5.00%,TSLS,Lokalt och småskaligt,0,0,,0,Kornmalt och humle.
3064003,1001233,30640,Halmstad Brygghus,Brogatan Engelsk Bitter,23.90,,330.00,72.42,2015/10/01,0,Öl,Ale brittisk-amerikansk stil,Extra special bitter,Flaska,,Hallands län,Sverige,Halmstad Brygghus,Halmstad Brygghus AB,,,5.80%,TSLS,Lokalt och småskaligt,0,0,,0,Kornmalt och humle.
3064102,1001236,30641,Snälleröds Bokhållarens Akvavit,,214.00,,500.00,428.00,2015/12/01,0,Kryddad sprit,,,Flaska,,Skåne län,Sverige,Arcus Sweden AB,Arcus Sweden AB,,,38.00%,TSLS,Lokalt och småskaligt,0,0,,0,
3064202,1001341,30642,Snälleröds Jungfruns Brännvin,,219.00,,500.00,438.00,2015/12/01,0,Kryddad sprit,,,Flaska,,Skåne län,Sverige,Arcus Sweden AB,Arcus Sweden AB,,,38.00%,TSLS,Lokalt och småskaligt,1,0,,0,
3064403,1001348,30644,Spin Back,India Pale Ale,28.90,,330.00,87.58,2015/10/01,0,Öl,Ale brittisk-amerikansk stil,India pale ale (IPA),Flaska,,Västerbottens län,Sverige,Beer Studio,Beer Studio AB,,,7.30%,TSLS,Lokalt och småskaligt,0,0,,0,Pale-, carapils- och crystalmalt samt humle av sorterna summit, cascade, citra och columbus.
3064703,1001367,30647,This Ale Is India Pale,,27.20,,330.00,82.42,2015/10/01,0,Öl,Ale brittisk-amerikansk stil,India pale ale (IPA),Flaska,,Skåne län,Sverige,Skelderwikens Brygghus AB,Skelderwikens Brygghus AB,,,5.80%,TSLS,Lokalt och småskaligt,0,0,,0,Pale ale- och cara hellmalt samt humle av sorterna cascade, centennial och citra.
3065003,1001500,30650,Halmstad Brygghus,Vallgatan Pale Ale,21.90,,330.00,66.36,2015/10/01,0,Öl,Ale brittisk-amerikansk stil,Amerikansk pale ale (APA),Flaska,,Hallands län,Sverige,Halmstad Brygghus,Halmstad Brygghus AB,,,5.50%,TSLS,Lokalt och småskaligt,0,0,,0,Kornmalt och humle.
3065201,1001506,30652,Tyska Eken,Weisse,32.50,,500.00,65.00,2015/10/01,0,Öl,Veteöl,Hefeweizen,Flaska,,Hallands län,Sverige,Tyska Eken, Eks Tyska Bryggeri,Eks Tyska Bryggeri AB,,,5.20%,TSLS,Lokalt och småskaligt,0,0,,0,Vete- och kornmalt samt humle.
7280801,1001536,72808,Würzburger Pfaffenberg,Silvaner Trocken,225.00,,750.00,300.00,2015/10/01,0,Vitt vin,,,Flaska,,Franken,Tyskland,WG Bürgerspital,Sybaris - Wine & Spirits AB,2014,,12.50%,BS,Övrigt sortiment,0,0,,0,
3065303,1001539,30653,Tyska Eken Helles,,22.40,,330.00,67.88,2015/11/02,0,Öl,Ljus lager,Dortmunder och helles,Flaska,,Hallands län,Sverige,Tyska Eken, Eks Tyska Bryggeri,Eks Tyska Bryggeri AB,,,4.90%,TSLS,Lokalt och småskaligt,0,0,,0,Kornmalt och humle.
